POSTCODE,Year,Meter,Total,Mean,Medium,,,,,,,,,,
SE,2020,418356,1333361903,3187.146601,2763.661139,,,,,,,,,,
SG,2020,142565,555562547,3896.907004,3509.873532,,,,,,,,,,
SK,2020,256672,953582150.7,3715.177934,3312.678908,,,,,,,,,,
SL,2020,142943,617848163.7,4322.33942,3887.286537,,,,,,,,,,
SM,2020,78272,293593692.9,3750.941498,3299.272206,,,,,,,,,,
SN,2020,193905,756119284,3899.431598,3474.772421,,,,,,,,,,
SO,2020,273099,1044443498,3824.413483,3353.177004,,,,,,,,,,
SP,2020,97387,394867637.3,4054.62369,3614.952259,,,,,,,,,,
SR,2020,110930,337127683,3039.102885,2652.947341,,,,,,,,,,
SS,2020,181680,704215095.6,3876.128884,3409.16081,,,,,,,,,,
ST,2020,264852,917363815.6,3463.684683,3033.187162,,,,,,,,,,
SW,2020,389770,1396353605,3582.50662,3138.547044,,,,,,,,,,
SY,2020,133180,528824198,3970.747845,3459.56748,,,,,,,,,,
TA,2020,134070,509089056.1,3797.188454,3333.310709,,,,,,,,,,
TD,2020,49779,185690963.2,3730.307222,3234.397789,,,,,,,,,,
TF,2020,90826,325154820.1,3579.975118,3177.594009,,,,,,,,,,
TN,2020,237283,988378465.1,4165.399397,3692.754925,,,,,,,,,,
TQ,2020,122895,456532439.5,3714.817035,3181.13019,,,,,,,,,,
TR,2020,121324,503612749.2,4150.973832,3607.576081,,,,,,,,,,
TS,2020,263639,850012013.3,3224.151257,2827.037684,,,,,,,,,,
TW,2020,186954,717573447.6,3838.235328,3333.449134,,,,,,,,,,
UB,2020,130989,473085297.8,3611.641418,3136.429359,,,,,,,,,,
W,2020,236506,831927079.9,3517.572831,2999.668616,,,,,,,,,,
WA,2020,268910,961061724,3573.915897,3265.051144,,,,,,,,,,
WC,2020,15282,45399416.4,2970.77715,2452.525188,,,,,,,,,,
WD,2020,86832,353497317.5,4071.048894,3647.987349,,,,,,,,,,
WF,2020,223435,739552313,3309.921512,2899.257766,,,,,,,,,,
WN,2020,132275,450815434.5,3408.168093,2991.802446,,,,,,,,,,
WR,2020,118967,462793201.1,3890.097263,3416.761146,,,,,,,,,,
WS,2020,176861,650663688,3678.955157,3193.079446,,,,,,,,,,
WV,2020,153715,553696508,3602.09809,3176.712298,,,,,,,,,,
YO,2020,241637,884645017.6,3661.049498,3117.238242,,,,,,,,,,
ZE,2020,8626,39491588.81,4578.204128,3505.05506,,,,,,,,,,
